datetime,tempmax,tempmin,T,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
12/1/2016,27.2,18.9,23,29.2,18.9,23.4,20.1,84.16,0,,0,,0,0,25.9,14.5,215.5,1015.5,51.3,15.2,,,0,,2016-12-01T07:04:15,2016-12-01T17:33:51,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
12/2/2016,24.9,14.6,18.7,24.9,14.6,18.7,6.4,48.03,0,,0,,0,0,27.7,16.9,26.5,1019.9,1.9,16,,,0,,2016-12-02T07:05:00,2016-12-02T17:33:53,0.04,Clear,Clear conditions throughout the day.,clear-day,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
12/3/2016,26.7,13.5,19.5,26.7,13.5,19.5,11,58.76,0,,0,,0,0,25.9,17.9,67.4,1020.1,9.2,16,,,0,,2016-12-03T07:05:45,2016-12-03T17:33:56,0.07,Clear,Clear conditions throughout the day.,clear-day,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
12/4/2016,29.2,17.3,22.6,29.7,17.3,22.7,16.6,70.57,0,,0,,0,0,32,20.5,123.8,1017.4,7.1,16,,,0,,2016-12-04T07:06:29,2016-12-04T17:34:01,0.11,Clear,Clear conditions throughout the day.,clear-day,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
12/5/2016,28.6,21,24.2,31.5,21,24.7,20.8,81.78,0,,0,,0,0,32.5,22.1,163.3,1014.6,62.4,15.9,,,0,,2016-12-05T07:07:13,2016-12-05T17:34:08,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
12/6/2016,26.5,20.5,23.9,26.5,20.5,23.9,22,89.21,6.44,,16.67,,0,0,44.1,26.4,230.5,1012.7,64.1,13.7,,,0,,2016-12-06T07:07:56,2016-12-06T17:34:16,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
12/7/2016,25.3,16.4,20.3,25.3,16.4,20.3,16.9,81.98,5.8,,4.17,,0,0,25.9,16.2,229.6,1017.7,22.2,14.2,,,0,,2016-12-07T07:08:39,2016-12-07T17:34:26,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
12/8/2016,20.8,13.5,16.8,20.8,13.5,16.8,13.2,80.72,0.12,,4.17,,0,0,,17.3,123.5,1021,51.4,14.7,,,0,,2016-12-08T07:09:21,2016-12-08T17:34:37,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
12/9/2016,17,10.8,13.7,17,10.8,13.7,6.5,63.12,1,,12.5,,0,0,31.7,17.2,30.5,1025.7,63.4,16,,,0,,2016-12-09T07:10:03,2016-12-09T17:34:50,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
12/10/2016,23.1,9.7,15.6,23.1,7.9,15.4,8.2,61.9,0,,0,,0,0,33.5,19.7,42.1,1026.8,29.3,16,,,0,,2016-12-10T07:10:44,2016-12-10T17:35:05,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,KTPA,72211012842,72202192816,KVDF"
